text,label
Fake reports suggest technology is being eliminated by the government of the nation.,0
The Government has launched a nationwide initiative to strengthen healthcare with support from UNICEF.,1
"According to an official statement, the country will implement new measures to boost education.",1
Unverified sources say the nation will completely shut down agriculture next month.,0
Unverified sources say the nation will completely shut down healthcare next month.,0
Shocking truth revealed as The Ministry of Health secretly plans to destroy healthcare in India.,0
Viral post claims The Central Authority has banned all activities related to healthcare.,0
The Ministry of Health released a report highlighting progress in technology development.,1
The government of the nation approved a policy to enhance technology starting next year.,1
Viral post claims The Education Ministry has banned all activities related to technology.,0
The The Education Ministry announced a new reform aimed at improving education across the nation.,1
Social media rumors allege The Ministry of Health replaced experts with robots in agriculture.,0
Viral post claims The Election Commission has banned all activities related to economic development.,0
Social media rumors allege The Education Ministry replaced experts with robots in technology.,0
Social media rumors allege The Election Commission replaced experts with robots in agriculture.,0
Viral post claims The Government has banned all activities related to agriculture.,0
The Election Commission has launched a nationwide initiative to strengthen agriculture with support from UNICEF.,1
Unverified sources say the nation will completely shut down education next month.,0
Fake reports suggest education is being eliminated by the government of India.,0
Unverified sources say the nation will completely shut down agriculture next month.,0
Social media rumors allege The Election Commission replaced experts with robots in healthcare.,0
Fake reports suggest education is being eliminated by the government of the country.,0
The The Government announced a new initiative aimed at improving healthcare across the country.,1
Viral post claims The Government has banned all activities related to economic development.,0
Viral post claims The Government has banned all activities related to healthcare.,0
Shocking truth revealed as The Government secretly plans to destroy agriculture in the nation.,0
"According to an official statement, India will implement new measures to boost education.",1
Unverified sources say the country will completely shut down healthcare next month.,0
The government of the nation approved a policy to enhance agriculture starting next year.,1
Viral post claims The Ministry of Health has banned all activities related to agriculture.,0
The government of the nation approved a policy to enhance healthcare starting next year.,1
Viral post claims The Education Ministry has banned all activities related to economic development.,0
The Election Commission released a report highlighting progress in economic development development.,1
The Central Authority released a report highlighting progress in education development.,1
The Central Authority released a report highlighting progress in technology development.,1
Fake reports suggest education is being eliminated by the government of the country.,0
The The Central Authority announced a new reform aimed at improving education across the country.,1
Viral post claims The Central Authority has banned all activities related to education.,0
Fake reports suggest education is being eliminated by the government of India.,0
The Ministry of Health released a report highlighting progress in technology development.,1
Social media rumors allege The Central Authority replaced experts with robots in healthcare.,0
The The Ministry of Health announced a new initiative aimed at improving healthcare across the nation.,1
"According to an official statement, the country will implement new measures to boost economic development.",1
The Ministry of Health has launched a nationwide initiative to strengthen healthcare with support from UNICEF.,1
The Election Commission has launched a nationwide initiative to strengthen agriculture with support from World Bank.,1
Unverified sources say the nation will completely shut down agriculture next month.,0
The government of India approved a policy to enhance agriculture starting next year.,1
The government of the nation approved a policy to enhance economic development starting next year.,1
Unverified sources say India will completely shut down healthcare next month.,0
Shocking truth revealed as The Education Ministry secretly plans to destroy education in the nation.,0
The The Education Ministry announced a new reform aimed at improving agriculture across the nation.,1
The government of the nation approved a policy to enhance education starting next year.,1
The Government released a report highlighting progress in technology development.,1
The Government has launched a nationwide initiative to strengthen healthcare with support from UNICEF.,1
The The Government announced a new scheme aimed at improving technology across India.,1
Viral post claims The Education Ministry has banned all activities related to economic development.,0
The The Election Commission announced a new initiative aimed at improving healthcare across India.,1
Fake reports suggest education is being eliminated by the government of the country.,0
"According to an official statement, India will implement new measures to boost healthcare.",1
Unverified sources say the nation will completely shut down education next month.,0
Fake reports suggest healthcare is being eliminated by the government of India.,0
Fake reports suggest technology is being eliminated by the government of India.,0
Fake reports suggest technology is being eliminated by the government of the nation.,0
Fake reports suggest education is being eliminated by the government of the country.,0
The Government released a report highlighting progress in agriculture development.,1
Social media rumors allege The Education Ministry replaced experts with robots in agriculture.,0
Shocking truth revealed as The Education Ministry secretly plans to destroy healthcare in India.,0
The Ministry of Health released a report highlighting progress in technology development.,1
Unverified sources say India will completely shut down agriculture next month.,0
Social media rumors allege The Election Commission replaced experts with robots in agriculture.,0
"According to an official statement, the country will implement new measures to boost healthcare.",1
"According to an official statement, the nation will implement new measures to boost economic development.",1
The government of India approved a policy to enhance economic development starting next year.,1
Viral post claims The Election Commission has banned all activities related to agriculture.,0
The The Central Authority announced a new scheme aimed at improving education across India.,1
The government of the nation approved a policy to enhance education starting next year.,1
The Government released a report highlighting progress in technology development.,1
The The Election Commission announced a new initiative aimed at improving agriculture across the country.,1
Shocking truth revealed as The Education Ministry secretly plans to destroy agriculture in the nation.,0
Unverified sources say the nation will completely shut down healthcare next month.,0
The The Central Authority announced a new policy aimed at improving technology across India.,1
Fake reports suggest education is being eliminated by the government of India.,0
The Government released a report highlighting progress in healthcare development.,1
The government of the country approved a policy to enhance agriculture starting next year.,1
Fake reports suggest healthcare is being eliminated by the government of the nation.,0
Fake reports suggest agriculture is being eliminated by the government of the nation.,0
Social media rumors allege The Government replaced experts with robots in technology.,0
The Election Commission released a report highlighting progress in healthcare development.,1
Fake reports suggest healthcare is being eliminated by the government of the country.,0
The Ministry of Health released a report highlighting progress in healthcare development.,1
The government of the nation approved a policy to enhance agriculture starting next year.,1
The government of the nation approved a policy to enhance economic development starting next year.,1
Social media rumors allege The Government replaced experts with robots in economic development.,0
Unverified sources say the nation will completely shut down education next month.,0
"According to an official statement, the country will implement new measures to boost economic development.",1
Fake reports suggest agriculture is being eliminated by the government of India.,0
Shocking truth revealed as The Ministry of Health secretly plans to destroy agriculture in the nation.,0
Unverified sources say the nation will completely shut down technology next month.,0
Social media rumors allege The Central Authority replaced experts with robots in technology.,0
Viral post claims The Ministry of Health has banned all activities related to education.,0
"According to an official statement, the nation will implement new measures to boost economic development.",1
"According to an official statement, India will implement new measures to boost agriculture.",1
The Central Authority has launched a nationwide initiative to strengthen education with support from international agencies.,1
The Election Commission has launched a nationwide initiative to strengthen education with support from WHO.,1
The government of the nation approved a policy to enhance education starting next year.,1
Unverified sources say the country will completely shut down education next month.,0
Social media rumors allege The Ministry of Health replaced experts with robots in technology.,0
The government of the nation approved a policy to enhance healthcare starting next year.,1
The government of the country approved a policy to enhance healthcare starting next year.,1
Shocking truth revealed as The Government secretly plans to destroy economic development in the country.,0
The The Central Authority announced a new initiative aimed at improving agriculture across India.,1
Fake reports suggest agriculture is being eliminated by the government of India.,0
The The Ministry of Health announced a new scheme aimed at improving technology across the nation.,1
Social media rumors allege The Election Commission replaced experts with robots in economic development.,0
Unverified sources say India will completely shut down healthcare next month.,0
The Central Authority has launched a nationwide initiative to strengthen technology with support from UNICEF.,1
Unverified sources say the nation will completely shut down technology next month.,0
The Central Authority has launched a nationwide initiative to strengthen agriculture with support from UNICEF.,1
The government of the country approved a policy to enhance education starting next year.,1
Unverified sources say India will completely shut down agriculture next month.,0
Fake reports suggest healthcare is being eliminated by the government of India.,0
Social media rumors allege The Election Commission replaced experts with robots in education.,0
Viral post claims The Education Ministry has banned all activities related to agriculture.,0
The Government has launched a nationwide initiative to strengthen agriculture with support from World Bank.,1
The government of India approved a policy to enhance education starting next year.,1
Fake reports suggest healthcare is being eliminated by the government of India.,0
The The Election Commission announced a new program aimed at improving education across the nation.,1
Social media rumors allege The Ministry of Health replaced experts with robots in economic development.,0
Unverified sources say the nation will completely shut down technology next month.,0
"According to an official statement, the nation will implement new measures to boost technology.",1
The government of the country approved a policy to enhance technology starting next year.,1
Unverified sources say India will completely shut down agriculture next month.,0
The Ministry of Health released a report highlighting progress in healthcare development.,1
Unverified sources say the nation will completely shut down education next month.,0
"According to an official statement, the nation will implement new measures to boost agriculture.",1
The Central Authority has launched a nationwide initiative to strengthen healthcare with support from UNICEF.,1
The Ministry of Health has launched a nationwide initiative to strengthen technology with support from WHO.,1
Shocking truth revealed as The Education Ministry secretly plans to destroy education in the country.,0
The Government has launched a nationwide initiative to strengthen technology with support from international agencies.,1
Social media rumors allege The Ministry of Health replaced experts with robots in agriculture.,0
The government of the nation approved a policy to enhance agriculture starting next year.,1
The Election Commission has launched a nationwide initiative to strengthen healthcare with support from international agencies.,1
"According to an official statement, the country will implement new measures to boost economic development.",1
The government of the nation approved a policy to enhance healthcare starting next year.,1
"According to an official statement, the country will implement new measures to boost technology.",1
"According to an official statement, the country will implement new measures to boost healthcare.",1
Fake reports suggest economic development is being eliminated by the government of India.,0
Shocking truth revealed as The Central Authority secretly plans to destroy education in the nation.,0
Fake reports suggest healthcare is being eliminated by the government of the country.,0
The Election Commission has launched a nationwide initiative to strengthen agriculture with support from UNICEF.,1
"According to an official statement, the country will implement new measures to boost economic development.",1
The The Education Ministry announced a new program aimed at improving education across the country.,1
Shocking truth revealed as The Central Authority secretly plans to destroy healthcare in the country.,0
The Ministry of Health released a report highlighting progress in education development.,1
The Education Ministry has launched a nationwide initiative to strengthen healthcare with support from international agencies.,1
"According to an official statement, India will implement new measures to boost technology.",1
"According to an official statement, the country will implement new measures to boost healthcare.",1
Unverified sources say India will completely shut down technology next month.,0
Fake reports suggest economic development is being eliminated by the government of India.,0
The Central Authority released a report highlighting progress in healthcare development.,1
Shocking truth revealed as The Election Commission secretly plans to destroy healthcare in the nation.,0
Unverified sources say the nation will completely shut down technology next month.,0
The Ministry of Health released a report highlighting progress in technology development.,1
"According to an official statement, the country will implement new measures to boost education.",1
Social media rumors allege The Education Ministry replaced experts with robots in agriculture.,0
The The Central Authority announced a new initiative aimed at improving healthcare across the country.,1
Social media rumors allege The Education Ministry replaced experts with robots in technology.,0
Unverified sources say the country will completely shut down economic development next month.,0
"According to an official statement, the nation will implement new measures to boost education.",1
Unverified sources say the country will completely shut down economic development next month.,0
The government of the country approved a policy to enhance agriculture starting next year.,1
Social media rumors allege The Education Ministry replaced experts with robots in healthcare.,0
Unverified sources say the country will completely shut down healthcare next month.,0
Viral post claims The Government has banned all activities related to technology.,0
Viral post claims The Central Authority has banned all activities related to education.,0
The The Government announced a new program aimed at improving education across the nation.,1
Fake reports suggest education is being eliminated by the government of India.,0
The Central Authority has launched a nationwide initiative to strengthen technology with support from World Bank.,1
Shocking truth revealed as The Central Authority secretly plans to destroy agriculture in India.,0
The Central Authority has launched a nationwide initiative to strengthen education with support from WHO.,1
Social media rumors allege The Election Commission replaced experts with robots in economic development.,0
Social media rumors allege The Election Commission replaced experts with robots in healthcare.,0
The Education Ministry released a report highlighting progress in economic development development.,1
Social media rumors allege The Education Ministry replaced experts with robots in education.,0
Unverified sources say India will completely shut down technology next month.,0
Fake reports suggest healthcare is being eliminated by the government of the nation.,0
The government of the nation approved a policy to enhance education starting next year.,1
Viral post claims The Central Authority has banned all activities related to economic development.,0
Viral post claims The Election Commission has banned all activities related to healthcare.,0
Viral post claims The Education Ministry has banned all activities related to healthcare.,0
Unverified sources say the nation will completely shut down agriculture next month.,0
Shocking truth revealed as The Election Commission secretly plans to destroy healthcare in the country.,0
Shocking truth revealed as The Ministry of Health secretly plans to destroy technology in the country.,0
The government of the nation approved a policy to enhance economic development starting next year.,1
"According to an official statement, the country will implement new measures to boost technology.",1
Shocking truth revealed as The Election Commission secretly plans to destroy economic development in the nation.,0
Unverified sources say India will completely shut down technology next month.,0
Shocking truth revealed as The Government secretly plans to destroy healthcare in the nation.,0
Unverified sources say India will completely shut down healthcare next month.,0
The Central Authority released a report highlighting progress in healthcare development.,1
The Education Ministry has launched a nationwide initiative to strengthen education with support from international agencies.,1
Viral post claims The Education Ministry has banned all activities related to economic development.,0
The Government has launched a nationwide initiative to strengthen agriculture with support from WHO.,1
Unverified sources say India will completely shut down economic development next month.,0
The government of India approved a policy to enhance technology starting next year.,1
The The Election Commission announced a new policy aimed at improving agriculture across the country.,1
The government of India approved a policy to enhance healthcare starting next year.,1
Viral post claims The Central Authority has banned all activities related to agriculture.,0
Social media rumors allege The Ministry of Health replaced experts with robots in healthcare.,0
The Central Authority released a report highlighting progress in economic development development.,1
Shocking truth revealed as The Central Authority secretly plans to destroy healthcare in the country.,0
Viral post claims The Central Authority has banned all activities related to agriculture.,0
The government of the nation approved a policy to enhance agriculture starting next year.,1
Shocking truth revealed as The Ministry of Health secretly plans to destroy agriculture in India.,0
Fake reports suggest healthcare is being eliminated by the government of the country.,0
Social media rumors allege The Ministry of Health replaced experts with robots in technology.,0
The government of the nation approved a policy to enhance education starting next year.,1
The government of the country approved a policy to enhance healthcare starting next year.,1
The Education Ministry released a report highlighting progress in healthcare development.,1
Social media rumors allege The Education Ministry replaced experts with robots in economic development.,0
The Central Authority has launched a nationwide initiative to strengthen healthcare with support from World Bank.,1
"According to an official statement, the country will implement new measures to boost economic development.",1
The The Central Authority announced a new initiative aimed at improving agriculture across India.,1
Shocking truth revealed as The Government secretly plans to destroy technology in the nation.,0
The Education Ministry has launched a nationwide initiative to strengthen education with support from international agencies.,1
Fake reports suggest economic development is being eliminated by the government of India.,0
Social media rumors allege The Ministry of Health replaced experts with robots in agriculture.,0
The The Government announced a new program aimed at improving agriculture across the country.,1
The The Election Commission announced a new program aimed at improving technology across India.,1
The Education Ministry released a report highlighting progress in agriculture development.,1
The The Central Authority announced a new policy aimed at improving economic development across India.,1
The Education Ministry has launched a nationwide initiative to strengthen technology with support from WHO.,1
The Central Authority has launched a nationwide initiative to strengthen economic development with support from World Bank.,1
The Central Authority has launched a nationwide initiative to strengthen education with support from World Bank.,1
The Ministry of Health released a report highlighting progress in economic development development.,1
Viral post claims The Election Commission has banned all activities related to technology.,0
The The Election Commission announced a new reform aimed at improving economic development across the country.,1
The The Ministry of Health announced a new initiative aimed at improving healthcare across the nation.,1
Shocking truth revealed as The Education Ministry secretly plans to destroy economic development in the nation.,0
Viral post claims The Central Authority has banned all activities related to economic development.,0
The government of India approved a policy to enhance healthcare starting next year.,1
The government of the nation approved a policy to enhance agriculture starting next year.,1
The Education Ministry has launched a nationwide initiative to strengthen education with support from WHO.,1
Fake reports suggest education is being eliminated by the government of the nation.,0
Social media rumors allege The Education Ministry replaced experts with robots in technology.,0
Viral post claims The Ministry of Health has banned all activities related to agriculture.,0
Unverified sources say the country will completely shut down healthcare next month.,0
The Government released a report highlighting progress in economic development development.,1
The government of the country approved a policy to enhance healthcare starting next year.,1
The government of the country approved a policy to enhance technology starting next year.,1
The The Education Ministry announced a new scheme aimed at improving agriculture across the nation.,1
